group,participant_id,correct,rt_raw,rt_adj,speaker_variety,sentence_type,sentence,familiar_with_fall,learner,two_langs,eq_score,exp_time,lextale_avg,lextale_tra
1,55b8d0bffdf99b0f2859fe73,0,1.6375,0.38749999999999996,cuban,interrogative-total-yn,Marta abre el regalo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.687,0.357,mexican,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7867,0.42669999999999986,castilian,declarative-broad-focus,Maria bebe el vino,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,2.0052,0.8752,puertorican,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.6376,0.3275999999999999,cuban,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.972,0.8719999999999999,mexican,declarative-broad-focus,David leia el libro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.67,0.48,puertorican,declarative-broad-focus,El hombre mira la luna,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.4037,0.31369999999999987,mexican,declarative-broad-focus,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5039,0.3639000000000001,mexican,declarative-broad-focus,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.4858,0.27580000000000005,mexican,interrogative-total-yn,David leia el libro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7213,0.32130000000000014,cuban,declarative-broad-focus,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7211,0.21110000000000007,castilian,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7711,0.31109999999999993,cuban,declarative-broad-focus,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.4186,0.3086,cuban,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7713,0.24130000000000007,castilian,interrogative-total-yn,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.503,0.363,puertorican,declarative-broad-focus,David leia el libro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.7546,0.4845999999999999,cuban,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5367,0.3167,puertorican,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5039,0.31390000000000007,mexican,interrogative-total-yn,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.6207,0.40070000000000006,cuban,interrogative-total-yn,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.6533,0.4333,mexican,declarative-broad-focus,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.8878,0.2777999999999998,castilian,declarative-broad-focus,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,2.523,1.0830000000000002,cuban,interrogative-total-yn,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.9205,0.39050000000000007,castilian,declarative-broad-focus,Manuela vende el carro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.6203,0.4003000000000001,cuban,declarative-broad-focus,La nina lava el plato,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.37,0.2300000000000002,puertorican,declarative-broad-focus,La nina lava el plato,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5037,0.27370000000000005,mexican,interrogative-total-yn,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.6373,0.3873,puertorican,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5701,0.43010000000000015,mexican,declarative-broad-focus,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5876,0.28759999999999986,castilian,declarative-broad-focus,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7866,0.18659999999999988,castilian,declarative-broad-focus,La maestra vive en Paris,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.688,0.258,castilian,interrogative-total-yn,David leia el libro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7205,0.3205,castilian,declarative-broad-focus,Marta abre el regalo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7037,0.2237,castilian,declarative-broad-focus,David leia el libro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5367,0.4766999999999999,cuban,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5205,0.28049999999999997,puertorican,declarative-broad-focus,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.6378,0.3577999999999999,mexican,declarative-broad-focus,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.4706,0.3206,mexican,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.5538,0.39380000000000015,puertorican,interrogative-total-yn,La nina lava el plato,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.604,0.2140000000000002,cuban,declarative-broad-focus,Manuela vende el carro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.437,0.2470000000000001,mexican,declarative-broad-focus,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5373000000000001,0.1773,mexican,interrogative-total-yn,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.4028,0.25280000000000014,mexican,interrogative-total-yn,Marta abre el regalo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.487,0.2470000000000001,cuban,declarative-broad-focus,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7041,0.23409999999999997,castilian,declarative-broad-focus,La nina lava el plato,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5367,0.3167,mexican,declarative-broad-focus,El hombre mira la luna,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.6213,0.2912999999999999,cuban,interrogative-total-yn,Maria bebe el vino,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.5376,0.3376000000000001,puertorican,interrogative-total-yn,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,2.1055,0.9155000000000002,puertorican,declarative-broad-focus,El bebe comia muy bien,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.8051,0.6751,puertorican,declarative-broad-focus,Maria bebe el vino,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.5861,0.3461000000000001,puertorican,declarative-broad-focus,Manuela vende el carro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.3871,0.18710000000000004,puertorican,declarative-broad-focus,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.4702,0.34020000000000006,cuban,declarative-broad-focus,El hombre mira la luna,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.738,-0.02200000000000002,castilian,interrogative-total-yn,La maestra vive en Paris,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.6703,0.21029999999999993,castilian,interrogative-total-yn,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
