participant_id,monolingual,age,sex,group,two_langs
66969c9921e4f92ad108ed4c,I was raised with my native language only,26,Female,1,"no, only English or Spanish"
5d79375d794d900017671c07,I was raised with my native language only,51,Female,1,"yes, I am fluent in another language"
66831d05b00b3aa4c64b976c,I was raised with my native language only,46,Female,1,"no, only English or Spanish"
5ca25f7048f78e0018fdac10,I was raised with my native language only,42,Male,1,"no, only English or Spanish"
6278053805652c04421baf32,I was raised with my native language only,30,Female,1,"no, only English or Spanish"
5fb69cacddba6408f81a9564,I was raised with my native language only,41,Male,1,"no, only English or Spanish"
671efcc199e22fc57bff41aa,I was raised with my native language only,34,Prefer not to say,1,"no, only English or Spanish"
66706bf3288568808d36ff2c,I was raised with my native language only,42,Female,1,"no, only English or Spanish"
5611f6dd7ffc8a00058117e7,I was raised with my native language only,36,Male,1,"no, only English or Spanish"
6655fd511b6c8d1fd05de12d,I was raised with my native language only,34,Female,1,"no, only English or Spanish"
65486ad91a5493d24f94d4d1,I was raised with my native language only,32,Male,1,"no, only English or Spanish"
66463a176d751e3c9c34e12f,I was raised with my native language only,29,Female,1,"no, only English or Spanish"
6131ba00bd67d2702e9a3c8d,I was raised with my native language only,27,Female,0,"no, only English or Spanish"
5de96ccf7aeafe09d7e8a74a,I was raised with my native language only,57,Male,0,"no, only English or Spanish"
62bb6a26ba959335811bad0c,I was raised with my native language only,25,Male,0,"no, only English or Spanish"
6695a62c614f900eb86de512,I was raised with my native language only,42,Male,0,"no, only English or Spanish"
61022a84042923c389bf1499,I was raised with my native language only,22,Male,0,"no, only English or Spanish"
5c3630c83ce2c8000111b504,I was raised with my native language only,66,Female,0,"no, only English or Spanish"
66c8abe49537b182dcbd2049,I was raised with my native language only,30,Male,0,"no, only English or Spanish"
63f7870b7fabda95fb6586d0,I was raised with my native language only,27,Male,0,"no, only English or Spanish"
6718fc8e87940911f7093cfd,I was raised with my native language only,40,Male,0,"no, only English or Spanish"
66d87ae1f2a4958af3785d9e,I was raised with my native language only,39,Male,0,"no, only English or Spanish"
65cecc1a8b4d913edec6cc96,I was raised with my native language only,22,Female,0,"no, only English or Spanish"
6645a550e2bdc9ec8b32ec7c,I was raised with my native language only,19,Male,0,click here to respond
5a53e59af6c5170001949a39,I was raised with my native language only,37,Male,0,"no, only English or Spanish"
66f6e3a582de0614bd19b481,I was raised with my native language only,30,Female,0,"no, only English or Spanish"
652dfc0fbb39b693dabc5fcd,I was raised with my native language only,29,Male,0,"no, only English or Spanish"
5bf289cc17a7de0001cf52f0,I was raised with my native language only,31,Female,0,"yes, I am fluent in another language"
662ed96620183e2e20bb0751,I was raised with my native language only,19,Male,0,"no, only English or Spanish"
5beddd59e4dbf300011c1d50,I was raised with my native language only,40,Male,0,"no, only English or Spanish"
666ee37c2c2d032408112ced,I was raised with my native language only,36,Female,0,"no, only English or Spanish"
65cb7b14e78fc98ecd71d8de,I was raised with my native language only,25,Female,0,"yes, I am fluent in another language"
638a3fd5992f01b81d0e1e93,I was raised with my native language only,56,Male,0,"no, only English or Spanish"
66536514443a3c5e8dda9208,I was raised with my native language only,58,Female,0,"no, only English or Spanish"
653d144d2e894446d55babdb,I was raised with my native language only,35,Female,0,"no, only English or Spanish"
60121fca666552254559110d,I was raised with my native language only,24,Female,0,"no, only English or Spanish"
5e0e14d3ecb3ea56d7be5995,I was raised with my native language only,27,Male,0,"no, only English or Spanish"
6768815b73d3cbf6add75750,I was raised with my native language only,40,Male,0,"no, only English or Spanish"
6782b2f4bd70e1c0a9a36590,I was raised with my native language only,33,Male,0,"no, only English or Spanish"
66eb24d93cf3e118289817f2,I was raised with my native language only,33,Male,0,"no, only English or Spanish"
5dedbcdb63c57946d82c27e8,I was raised with my native language only,29,Male,0,"yes, I am fluent in another language"
672e1c2422a33b09d7be4701,I was raised with my native language only,26,Female,0,"no, only English or Spanish"
6712acd49ca5448a6e983e6c,I was raised with my native language only,49,Male,0,"no, only English or Spanish"
61119e3139b8346b3ef32bf0,I was raised with my native language only,26,Male,0,"no, only English or Spanish"
5b78542ef642ed0001517ca0,I was raised with my native language only,34,Female,0,"no, only English or Spanish"
677743bf62e157794cf97ff4,I was raised with my native language only,32,Male,0,"no, only English or Spanish"
60fed4a51b41974258558dbe,I was raised with my native language only,23,Female,0,"yes, I am fluent in another language"
67926cc8eeb2400a96639477,I was raised with my native language only,40,Male,0,"no, only English or Spanish"
6732736f57f1a61ec4a6db24,I was raised with my native language only,30,Female,0,"no, only English or Spanish"
